aX,aY,aZ,gX,gY,gZ
0.770,-0.932,0.317,217.834,-767.273,184.509
0.979,-0.993,-0.174,231.934,-838.196,196.350

1.445,-0.759,-0.978,197.144,-910.339,192.871
1.422,-0.696,-1.382,179.993,-915.283,178.467
1.259,-0.877,-1.547,169.922,-882.996,153.870
0.942,-0.894,-1.450,145.142,-807.678,115.540
0.409,-0.932,-1.172,108.337,-695.618,70.557
-0.016,-0.887,-0.884,59.570,-558.777,35.522
-0.278,-0.898,-0.781,25.879,-411.987,18.005
-0.404,-1.028,-0.720,23.682,-270.447,7.507
-0.365,-1.109,-0.644,30.701,-139.099,-2.991
-0.198,-1.145,-0.526,21.118,-27.832,-10.498
0.013,-1.108,-0.468,2.808,57.617,-16.357
0.168,-1.046,-0.441,-7.141,118.530,-25.024
0.298,-1.003,-0.399,-14.709,157.593,-34.363
0.376,-0.984,-0.403,-29.785,178.650,-36.987
0.399,-0.997,-0.457,-45.471,188.599,-37.903
0.395,-1.013,-0.522,-54.443,200.562,-40.039
0.386,-0.960,-0.497,-65.430,226.990,-44.922
0.377,-0.889,-0.370,-73.059,272.034,-50.232
0.372,-0.890,-0.221,-64.270,333.801,-56.274
0.364,-0.923,-0.136,-49.255,403.870,-65.125
0.304,-0.951,-0.197,-37.109,471.252,-73.914
0.223,-0.970,-0.342,-28.809,529.053,-81.726
0.232,-0.974,-0.409,-20.752,581.970,-91.187
0.322,-1.002,-0.449,-13.672,631.653,-108.765
0.426,-1.097,-0.511,-8.301,676.880,-132.812
0.465,-1.169,-0.569,-7.751,713.623,-157.532
0.541,-1.136,-0.544,-17.944,734.253,-180.786
0.559,-1.173,-0.412,-34.363,733.337,-194.580
0.501,-1.153,-0.324,-46.509,704.651,-205.444
0.432,-1.178,-0.270,-46.143,648.865,-208.740
0.433,-1.236,-0.231,-44.983,563.477,-196.899
0.410,-1.171,-0.136,-54.443,457.886,-167.603
0.317,-1.062,0.033,-71.716,349.182,-126.221
0.200,-0.974,0.215,-82.092,252.930,-83.008
0.097,-0.885,0.359,-77.332,173.096,-44.739
0.002,-0.843,0.408,-65.552,112.183,-15.686
-0.092,-0.797,0.424,-50.171,75.317,2.930
