aX,aY,aZ,gX,gY,gZ
0.031,-1.060,-0.137,-8.240,3.845,1.526
0.012,-1.035,-0.153,-13.367,1.648,3.113
0.012,-1.004,-0.138,-13.306,-2.380,4.761
0.020,-0.987,-0.108,-9.033,-5.554,5.005
0.024,-0.995,-0.088,-4.883,-6.165,3.906
0.017,-1.014,-0.083,-2.747,-5.920,2.930
0.007,-1.009,-0.071,-3.296,-4.944,2.380
0.010,-0.992,-0.063,-6.287,-2.808,1.709

-1.234,-1.102,0.667,52.734,436.340,26.978
-1.181,-1.021,0.707,43.213,497.559,27.832
-1.146,-1.004,0.639,38.757,552.246,29.846
-1.098,-1.048,0.792,26.550,604.675,29.236
-1.159,-1.012,0.878,9.521,645.447,26.550
-1.136,-1.083,0.739,17.883,668.579,17.761
-0.886,-1.227,0.472,38.635,672.180,13.489
-0.677,-1.444,0.130,44.373,647.095,14.771
-0.488,-1.598,-0.164,31.067,612.366,27.283
-0.480,-1.624,-0.520,-14.160,583.008,45.959
-0.370,-1.240,-0.835,-64.270,554.871,60.120
-0.245,-0.894,-1.317,-88.684,516.602,65.918
0.017,-0.526,-1.908,-81.055,473.755,54.504
-0.331,-0.291,-2.115,-54.199,439.026,17.273
-0.693,-0.370,-2.150,19.104,363.586,-5.981
-0.670,-0.607,-1.991,92.590,228.516,6.348
-0.809,-0.789,-1.027,112.976,106.506,5.981
-1.047,-0.964,-0.462,88.745,72.754,-12.390
-1.048,-1.065,-0.314,46.326,49.072,-16.418
-0.807,-0.940,-0.230,1.770,38.818,-8.301
-0.732,-0.808,-0.470,-18.250,25.635,-12.695
-0.562,-0.668,-0.692,-23.193,7.812,-20.386
-0.419,-0.614,-0.860,-8.362,-19.409,-30.273
-0.260,-0.710,-0.942,14.954,-53.101,-39.856
-0.122,-0.826,-0.936,32.410,-85.876,-48.523
0.013,-0.983,-0.906,42.786,-118.713,-52.979
0.074,-1.173,-0.814,50.842,-152.466,-52.612
0.110,-1.211,-0.660,55.359,-177.063,-51.758
0.031,-1.190,-0.632,62.866,-192.200,-42.419
-0.107,-1.298,-0.597,83.862,-202.942,-22.522
-0.078,-1.239,-0.422,107.056,-211.731,-5.005
-0.235,-1.240,-0.118,109.680,-211.426,7.690
-0.090,-1.216,0.060,94.666,-185.913,20.874
0.165,-1.086,-0.173,64.148,-162.292,23.987
0.283,-0.991,-0.343,32.715,-157.043,17.883
0.389,-1.070,-0.623,16.907,-158.813,5.920
0.159,-1.037,-0.728,19.714,-172.424,-23.254
-0.036,-1.052,-0.649,38.025,-196.655,-39.917
-0.493,-1.097,-0.518,47.241,-216.309,-33.997
-0.588,-1.056,-0.085,51.636,-222.778,-14.648
-0.373,-1.118,0.300,46.387,-208.618,12.451
-0.276,-1.145,0.377,25.757,-183.838,25.635
-0.180,-1.091,0.378,4.211,-157.898,26.978
-0.079,-0.999,0.254,-12.329,-131.409,25.146
-0.040,-0.956,-0.016,-19.531,-106.873,21.118
-0.021,-0.892,-0.261,-18.311,-89.294,14.832
0.080,-0.826,-0.398,-9.583,-86.243,10.071
0.004,-0.863,-0.503,-1.892,-94.543,6.226
-0.093,-0.861,-0.412,6.531,-106.506,2.930
-0.150,-0.922,-0.190,18.494,-115.417,5.676
-0.142,-0.935,-0.058,19.043,-115.356,10.498
-0.134,-0.940,-0.029,5.615,-105.042,11.597
-0.116,-0.927,-0.034,-6.042,-89.661,8.301
-0.062,-0.895,-0.064,-7.080,-75.439,4.211
-0.040,-0.889,-0.170,-2.380,-63.843,0.366
0.019,-0.900,-0.291,4.517,-56.091,-3.235
0.139,-0.895,-0.412,8.179,-55.359,-7.080
0.167,-0.895,-0.559,2.258,-63.843,-13.977
0.032,-0.956,-0.640,-3.479,-79.895,-19.653
-0.038,-0.978,-0.543,2.197,-97.778,-18.616
-0.111,-1.051,-0.323,10.925,-112.366,-11.658
-0.183,-1.094,-0.065,11.719,-118.835,-6.653
-0.174,-1.104,0.108,4.028,-112.244,-3.601
-0.088,-1.059,0.124,-8.728,-90.027,-0.854
0.021,-1.011,0.006,-19.287,-60.486,-3.174
0.123,-0.983,-0.152,-23.926,-38.147,-9.216
0.195,-0.942,-0.336,-23.865,-32.166,-16.296
0.259,-0.911,-0.478,-21.240,-40.710,-22.278
0.318,-0.933,-0.553,-13.855,-57.922,-25.818
0.122,-1.052,-0.592,-5.188,-80.383,-28.198
-0.037,-1.122,-0.339,3.235,-101.074,-26.123
-0.071,-1.168,-0.059,13.123,-112.244,-13.245
-0.076,-1.183,0.065,3.601,-108.521,-2.197
-0.013,-1.117,0.069,-16.846,-91.919,3.540
0.065,-1.008,-0.011,-34.424,-71.228,4.333
0.114,-0.919,-0.155,-44.128,-54.199,-0.488
0.179,-0.904,-0.297,-41.504,-46.936,-7.263
0.208,-0.878,-0.377,-29.846,-50.537,-14.465
0.237,-0.916,-0.410,-16.724,-63.538,-18.738
0.115,-0.992,-0.424,-6.531,-81.665,-21.362
0.039,-1.051,-0.274,0.366,-97.046,-20.508
-0.021,-1.075,-0.155,3.235,-105.469,-13.733
-0.058,-1.059,-0.073,-4.578,-102.173,-8.057
-0.040,-1.026,-0.016,-17.395,-89.905,-6.165
-0.003,-0.972,-0.014,-30.090,-73.608,-6.897
0.070,-0.947,-0.092,-39.185,-57.739,-11.108
0.064,-0.922,-0.178,-41.260,-45.593,-18.372
0.116,-0.950,-0.222,-35.339,-40.283,-22.766
0.154,-0.955,-0.266,-26.001,-43.579,-23.193
0.187,-0.962,-0.312,-24.658,-50.964,-25.757
0.147,-0.985,-0.352,-28.992,-60.181,-31.738
0.095,-0.988,-0.330,-35.400,-71.838,-37.598
-0.049,-0.976,-0.274,-39.734,-84.900,-38.269
-0.101,-0.958,-0.165,-37.537,-95.032,-34.363
-0.101,-0.934,0.015,-32.166,-95.337,-26.855
-0.040,-0.983,0.019,-29.480,-83.435,-22.339
-0.011,-1.011,-0.031,-31.128,-72.754,-21.423
0.030,-1.017,-0.069,-27.588,-59.570,-19.104
0.082,-1.042,-0.123,-23.926,-50.720,-18.677
0.073,-1.015,-0.192,-27.466,-50.842,-20.935
0.106,-1.010,-0.241,-30.273,-57.312,-21.179
0.105,-1.009,-0.299,-28.442,-68.604,-21.179
0.065,-1.000,-0.322,-25.696,-83.618,-23.254
-0.094,-0.962,-0.219,-21.912,-98.633,-24.170
-0.101,-0.949,-0.067,-10.986,-111.633,-18.555
-0.164,-0.977,0.044,-2.747,-112.793,-15.137
-0.143,-0.991,0.129,-7.874,-99.670,-14.771
-0.042,-1.012,0.156,-21.545,-78.430,-15.259
0.020,-1.041,0.120,-28.625,-59.265,-15.320
0.032,-1.083,0.012,-28.748,-46.631,-14.526
0.033,-1.100,-0.075,-26.611,-37.964,-12.756
0.004,-1.074,-0.110,-25.635,-37.476,-8.423
0.022,-1.025,-0.108,-21.179,-45.776,-3.052
0.065,-1.041,-0.130,-17.029,-55.176,-1.587
-0.047,-0.999,-0.100,-21.851,-60.974,-7.751
-0.052,-1.037,-0.019,-29.480,-64.636,-10.254
-0.029,-1.050,0.021,-29.480,-66.467,-6.592
-0.033,-1.047,0.052,-30.396,-64.819,-4.089
-0.015,-1.041,0.086,-31.189,-57.617,-2.502

-0.644,-1.046,1.283,14.038,286.804,-5.066
-0.746,-0.996,1.321,-6.836,372.192,-8.606
-1.086,-1.036,1.343,-37.720,459.351,-25.330
-1.358,-1.097,1.336,-44.495,543.823,-38.879
-1.316,-1.090,1.297,-11.108,612.549,-31.189
-1.184,-0.992,1.244,19.897,658.020,-20.935
-1.141,-0.917,1.106,34.851,687.744,-24.048
-0.762,-0.946,0.676,52.917,692.993,-33.569
-0.443,-1.333,0.221,68.420,668.518,-41.321
-0.316,-1.563,-0.118,49.011,626.221,-48.462
-0.078,-1.463,-0.469,-15.503,592.102,-50.049
-0.250,-1.198,-0.833,-53.284,557.312,-37.170
-0.355,-1.014,-1.117,-36.438,515.991,-17.273
-0.446,-0.744,-1.448,-9.766,464.355,0.183
-0.764,-0.507,-1.555,-2.014,398.804,-0.061
-0.920,-0.348,-1.622,-7.935,327.209,-14.099
-1.040,-0.286,-1.545,2.014,253.296,-32.654
-1.175,-0.407,-1.321,27.466,181.152,-49.866
-1.215,-0.607,-1.075,55.054,116.211,-57.495
-1.078,-0.795,-0.904,68.542,65.063,-54.016
-0.833,-0.922,-0.846,66.895,24.170,-48.584
-0.583,-0.901,-0.849,51.208,-12.573,-47.424
-0.532,-0.927,-0.804,31.921,-50.964,-50.476
-0.427,-1.015,-0.587,24.841,-74.768,-52.856
-0.301,-1.097,-0.384,38.696,-90.271,-49.988
-0.078,-1.281,-0.200,60.425,-103.333,-43.884
0.022,-1.464,-0.025,73.425,-108.887,-39.551
0.106,-1.593,0.111,71.899,-106.262,-31.372
0.226,-1.606,0.134,52.490,-96.313,-19.409
0.300,-1.509,0.058,21.667,-83.557,-10.071
0.343,-1.386,-0.077,-0.916,-74.707,-4.150
0.315,-1.299,-0.172,-10.498,-69.824,0.610
0.235,-1.223,-0.168,-7.263,-68.848,5.615
0.226,-1.186,-0.164,0.549,-68.604,15.320
0.125,-1.173,-0.206,3.418,-65.735,22.156
0.086,-1.105,-0.148,6.714,-62.195,25.757
0.060,-1.061,-0.127,10.498,-59.448,32.288
0.007,-1.010,-0.158,3.601,-56.946,34.973
-0.094,-0.919,-0.142,-8.057,-55.725,34.790
-0.164,-0.826,-0.083,-13.000,-56.885,34.180
-0.253,-0.820,-0.056,-11.719,-54.993,31.799
-0.262,-0.801,0.050,-3.235,-49.866,28.503
-0.194,-0.824,0.098,4.028,-43.701,24.170
-0.177,-0.839,0.050,-0.977,-34.912,14.526
-0.134,-0.833,-0.003,-6.042,-26.611,6.042
-0.074,-0.846,-0.102,-6.104,-22.278,0.793
-0.021,-0.865,-0.212,-4.944,-23.499,-3.723
0.014,-0.889,-0.283,-4.333,-28.870,-6.287
0.038,-0.944,-0.337,-2.563,-36.926,-6.592
0.014,-1.020,-0.356,0.610,-46.204,-4.822
0.028,-1.047,-0.298,4.883,-57.373,-2.625
0.007,-1.068,-0.225,6.836,-67.200,0.549
-0.084,-1.072,-0.156,9.399,-74.707,3.479
-0.221,-1.103,0.026,17.883,-77.209,7.874
-0.140,-1.123,0.199,28.137,-71.167,16.785
-0.051,-1.131,0.194,28.625,-62.622,22.644
0.015,-1.111,0.104,22.705,-55.298,19.226
0.068,-1.084,-0.039,17.212,-49.133,13.245
0.150,-1.048,-0.233,14.404,-46.692,9.216
0.210,-1.050,-0.413,14.526,-53.223,7.690
0.124,-1.063,-0.461,17.761,-68.237,6.958
0.084,-1.024,-0.387,23.987,-85.571,9.583
-0.113,-1.066,-0.288,27.100,-98.877,15.015
-0.240,-1.037,-0.015,28.931,-102.661,20.020
-0.226,-1.029,0.136,29.785,-98.206,26.184
-0.200,-1.021,0.169,21.973,-85.205,28.748
-0.115,-0.957,0.147,15.991,-70.313,24.597
-0.079,-0.914,0.039,12.329,-57.068,15.930
-0.017,-0.894,-0.085,7.446,-46.936,6.165
0.050,-0.897,-0.161,8.179,-43.518,-2.197
0.086,-0.935,-0.219,14.343,-45.288,-6.714
0.117,-0.990,-0.278,17.334,-49.988,-8.057
0.131,-1.021,-0.289,15.991,-57.739,-6.653
0.119,-1.016,-0.292,12.268,-67.261,-3.967
0.031,-1.013,-0.286,6.897,-76.111,-0.366
-0.054,-0.991,-0.185,6.409,-81.787,2.991
-0.036,-0.982,-0.067,10.925,-83.557,6.226
-0.064,-1.005,0.019,14.099,-79.712,7.385
-0.036,-1.013,0.088,13.672,-69.885,6.470
0.032,-1.010,0.077,11.230,-60.486,4.639
0.093,-0.985,-0.018,4.639,-49.683,0.427
0.145,-0.987,-0.151,1.099,-42.236,-3.967
0.190,-0.995,-0.258,1.770,-45.715,-6.775
0.220,-1.012,-0.335,4.089,-54.077,-6.714
0.164,-1.058,-0.398,4.944,-66.528,-5.981
0.111,-1.059,-0.340,7.019,-81.055,-3.967
0.001,-1.047,-0.230,7.996,-92.590,0.122
-0.116,-1.038,-0.070,8.911,-95.642,4.639
-0.213,-1.033,0.153,12.939,-91.125,9.705
-0.150,-1.013,0.275,9.460,-76.050,12.939
-0.041,-0.980,0.159,-0.854,-49.500,10.925
0.060,-0.953,-0.028,-4.700,-29.236,4.822
0.136,-0.965,-0.188,-3.113,-21.179,-2.502
0.190,-0.976,-0.292,4.211,-23.621,-5.066
0.218,-1.003,-0.360,6.775,-33.386,-5.676
0.182,-1.068,-0.380,8.972,-48.401,-4.211
0.112,-1.114,-0.294,7.690,-63.354,0.000
0.019,-1.099,-0.141,2.625,-75.439,5.798
-0.061,-1.060,0.003,-7.874,-75.500,9.583
-0.056,-1.010,0.084,-12.695,-67.444,12.878
-0.017,-0.964,0.050,-17.578,-51.819,12.878
0.042,-0.912,-0.037,-18.005,-38.391,8.545
0.094,-0.893,-0.149,-15.869,-29.724,1.465
0.137,-0.926,-0.231,-9.094,-30.701,-4.700
0.150,-0.956,-0.254,-1.892,-36.621,-7.202
0.166,-0.997,-0.273,1.648,-45.410,-7.507
0.148,-1.046,-0.289,0.427,-55.481,-6.531
0.103,-1.054,-0.217,-2.136,-66.223,-6.165
0.039,-1.052,-0.125,-4.944,-73.669,-4.883
-0.041,-1.033,-0.045,-10.071,-73.914,-2.625
-0.051,-0.992,0.016,-13.977,-68.237,-0.610
-0.035,-0.961,0.044,-16.235,-58.289,-0.427
0.017,-0.947,0.013,-18.738,-47.241,-3.052
0.068,-0.975,-0.058,-18.250,-37.903,-7.629
0.172,-1.027,-0.118,-16.052,-34.729,-12.512
0.135,-1.065,-0.173,-19.775,-37.903,-17.822
0.117,-1.141,-0.155,-28.503,-43.701,-18.005
0.090,-1.125,-0.119,-37.415,-49.194,-12.268
0.078,-1.055,-0.082,-47.668,-52.734,-4.700

-0.807,-0.899,1.216,34.424,279.785,-1.831
-0.969,-0.945,1.244,23.376,364.502,-2.075
-1.237,-1.024,1.162,16.541,454.041,-7.019
-1.582,-0.825,1.118,8.362,537.964,-12.573
-1.685,-0.552,0.978,-5.432,613.953,-19.653
-1.593,-0.471,0.781,-7.141,675.476,-43.152
-1.518,-0.662,0.632,42.358,705.078,-78.308
-1.252,-0.751,0.438,117.737,707.214,-96.252
-1.050,-0.930,0.171,166.809,692.566,-89.783
-0.870,-1.499,-0.053,190.857,656.494,-71.899
-0.508,-1.957,-0.298,171.570,606.140,-45.349
-0.418,-1.927,-0.565,57.068,567.505,-29.419
-0.325,-1.729,-0.697,-57.678,532.227,-12.817
-0.298,-1.383,-1.110,-93.689,483.276,18.005
-0.304,-0.966,-1.510,-101.746,446.838,43.091
-0.338,-0.505,-2.056,-122.864,416.016,40.161
-0.314,-0.196,-2.367,-123.718,358.215,15.564
-0.468,-0.240,-2.278,-80.139,262.451,-12.573
-0.647,-0.407,-1.792,-8.240,139.221,-27.588
-0.805,-0.760,-1.173,49.072,29.724,-28.992
-0.940,-1.066,-0.500,76.111,-35.583,-24.109
-0.959,-1.123,-0.095,65.979,-43.701,-12.329
-0.836,-1.064,-0.147,36.316,-40.161,-4.272
-0.669,-0.986,0.012,33.325,-35.278,6.226
-0.398,-1.014,-0.065,47.424,-17.212,5.554
-0.095,-1.053,-0.124,47.852,-13.306,-4.272
0.087,-1.146,-0.137,37.781,-18.860,-22.034
0.231,-1.271,-0.136,28.809,-26.489,-36.255
0.324,-1.406,-0.124,23.743,-34.790,-40.222
0.300,-1.482,-0.021,24.597,-41.748,-33.752
0.278,-1.461,0.120,23.254,-44.983,-17.273
0.260,-1.386,0.158,17.212,-42.053,0.305
0.208,-1.263,0.180,13.428,-35.400,11.719
0.177,-1.166,0.152,14.099,-25.452,17.578
0.141,-1.098,0.048,15.991,-16.418,20.630
0.083,-1.075,0.015,22.461,-12.878,24.292
0.061,-1.045,0.025,22.644,-11.841,25.024
0.031,-1.011,-0.024,9.094,-10.437,21.729
-0.044,-0.975,-0.054,0.916,-10.620,19.775
-0.065,-0.954,-0.047,-0.549,-11.597,19.897
-0.048,-0.930,-0.093,-6.897,-12.329,18.250
-0.151,-0.882,-0.134,-16.357,-15.198,13.428
-0.205,-0.850,-0.124,-19.470,-17.700,8.728
-0.203,-0.822,-0.108,-16.663,-17.761,8.484
-0.177,-0.799,-0.147,-10.681,-19.897,9.827
-0.160,-0.829,-0.209,1.770,-25.146,10.193
-0.146,-0.910,-0.222,17.822,-31.372,11.719
-0.182,-1.013,-0.091,27.649,-37.598,12.817
-0.154,-1.017,0.075,17.456,-40.405,10.864
-0.132,-0.998,0.108,-5.371,-38.147,6.165
-0.077,-0.993,0.102,-11.475,-34.912,2.686
-0.042,-1.031,0.065,-5.615,-32.654,-0.244
0.003,-1.057,0.014,-3.418,-31.189,-2.686
0.077,-1.083,-0.051,-6.409,-31.433,-3.540
0.051,-1.094,-0.091,-10.620,-34.241,-5.737
0.063,-1.113,-0.077,-10.620,-38.452,-6.775
-0.001,-1.144,-0.070,-9.583,-42.297,-3.662
-0.056,-1.129,0.009,-9.705,-43.274,2.441
-0.082,-1.108,0.106,-7.202,-43.091,13.062
-0.074,-1.058,0.144,-10.925,-42.053,19.775
-0.136,-1.003,0.179,-14.771,-39.063,20.142
-0.088,-1.001,0.194,-8.667,-34.607,21.973
-0.060,-1.018,0.089,-5.859,-29.114,19.836
-0.088,-0.980,0.014,-9.460,-27.405,9.460
-0.074,-0.958,-0.030,-10.010,-30.518,3.296
0.019,-0.950,-0.089,-5.981,-35.034,3.906
0.091,-0.954,-0.126,1.404,-41.138,6.042
0.127,-0.982,-0.147,6.836,-49.133,7.874
0.043,-1.062,-0.185,5.432,-58.105,9.033
0.172,-1.078,-0.203,1.404,-63.477,7.996
0.040,-1.045,-0.100,-7.690,-62.744,4.761
-0.107,-1.033,-0.056,-2.258,-65.186,7.874
-0.057,-0.986,-0.055,9.827,-65.552,22.888
-0.026,-0.990,-0.107,16.357,-66.895,36.743
-0.005,-0.914,-0.071,22.522,-71.228,37.415
0.004,-0.878,0.009,30.457,-78.491,32.288
-0.048,-0.902,0.002,34.851,-85.876,24.414
-0.104,-0.903,0.035,39.551,-88.562,15.137
-0.090,-0.927,0.092,45.959,-85.999,9.460
-0.061,-0.953,0.080,43.701,-80.383,5.188
-0.055,-0.971,0.022,34.119,-73.425,-0.549
-0.017,-0.976,-0.036,28.503,-68.115,-3.784
0.004,-0.993,-0.101,25.879,-65.979,-2.991
-0.044,-1.033,-0.097,23.804,-68.298,-1.831
-0.030,-1.012,-0.005,22.949,-71.594,0.244
0.022,-1.011,0.021,14.404,-73.914,0.793
-0.026,-0.991,-0.009,-3.540,-73.425,-2.441
-0.029,-0.962,-0.012,-12.695,-68.909,-5.676
0.005,-0.963,-0.018,-6.104,-64.270,-5.981
-0.003,-0.994,-0.009,6.958,-62.500,-5.615
-0.002,-1.028,0.020,14.221,-61.584,-6.653
0.024,-1.043,0.012,11.902,-58.960,-8.972
-0.025,-1.076,-0.026,5.371,-54.443,-9.705
-0.008,-1.062,-0.017,2.014,-51.025,-7.263
0.037,-1.052,-0.066,3.540,-51.025,-3.235
0.068,-1.025,-0.148,3.906,-53.650,-0.366
0.070,-1.013,-0.208,5.859,-58.594,0.427
0.073,-1.025,-0.232,13.489,-66.162,1.404
-0.023,-1.094,-0.222,23.865,-76.843,2.380
-0.038,-1.099,-0.079,37.598,-86.731,2.502
-0.020,-1.129,0.051,47.241,-93.262,5.615
-0.021,-1.109,0.061,42.236,-94.849,7.874
-0.081,-1.075,0.044,30.273,-92.041,7.935
-0.027,-1.045,0.036,23.071,-86.243,8.789
0.041,-1.027,-0.057,19.714,-81.177,9.827
0.028,-1.028,-0.140,20.508,-79.773,7.996
0.079,-1.023,-0.184,24.231,-80.505,7.263
0.073,-0.987,-0.250,24.414,-84.351,8.240
0.022,-0.992,-0.260,22.400,-89.844,9.399
-0.018,-1.008,-0.192,26.062,-95.215,11.597
-0.058,-1.010,-0.082,31.250,-99.426,12.695
-0.080,-1.046,0.002,32.227,-98.267,11.902
-0.058,-1.052,0.032,28.809,-92.163,9.949
-0.041,-1.037,0.014,21.179,-82.581,8.911
-0.003,-1.008,-0.035,11.963,-72.571,7.263
0.058,-0.967,-0.084,5.188,-64.514,4.333
0.084,-0.968,-0.121,1.465,-60.486,-0.610
0.050,-1.010,-0.159,-1.648,-60.242,-6.104
0.035,-1.034,-0.130,-0.549,-62.866,-6.775

-1.106,-1.041,0.888,61.584,494.751,55.237
-1.283,-0.921,0.818,56.824,550.537,51.392
-1.408,-0.791,0.581,68.115,593.018,41.443
-1.151,-0.824,0.368,87.708,614.624,28.381
-0.808,-1.048,0.015,86.853,607.605,10.132
-0.544,-1.351,-0.242,62.073,578.430,-9.216
-0.318,-1.564,-0.412,41.809,534.119,-10.010
-0.228,-1.594,-0.603,11.963,484.680,18.860
-0.131,-1.348,-0.817,-38.452,440.674,60.486
-0.023,-1.045,-1.104,-66.833,405.029,94.910
0.020,-0.670,-1.511,-81.726,376.831,110.535
0.307,-0.397,-1.712,-76.172,364.136,93.140
0.323,-0.259,-1.488,-40.833,328.125,61.279
-0.231,-0.456,-1.599,-27.832,266.968,14.526
-0.453,-0.620,-1.145,-28.076,186.707,-22.949
-0.710,-0.905,-0.800,-16.052,122.864,-37.292
-0.748,-1.070,-0.603,-10.742,80.750,-31.677
-0.716,-1.122,-0.463,-17.029,55.847,-21.362
-0.615,-1.048,-0.451,-31.006,38.574,-14.404
