aX,aY,aZ,gX,gY,gZ
-0.035,-0.989,-0.149,6.531,-1.770,4.761
-0.037,-0.990,-0.131,6.897,-2.136,4.211
-0.038,-0.994,-0.126,5.493,-1.404,3.845
-0.032,-0.995,-0.125,3.296,-0.061,3.052
-0.028,-0.990,-0.131,1.587,0.854,2.136

-0.470,-2.612,-0.012,-65.369,-9.094,-86.975
-0.538,-3.036,0.006,-91.553,-8.301,-93.506
-0.543,-3.294,0.013,-121.277,-0.854,-86.426
-0.474,-3.381,0.002,-142.517,9.949,-66.833
-0.358,-3.397,0.020,-140.747,17.700,-34.668
-0.261,-3.307,0.039,-115.601,22.095,7.385
-0.242,-3.081,0.046,-81.177,24.841,55.969
-0.224,-2.712,0.024,-49.133,28.076,103.882
-0.258,-2.286,-0.031,-22.949,28.625,145.325
-0.294,-1.867,-0.082,-5.005,25.085,178.711
-0.316,-1.419,-0.120,0.610,18.494,202.942
-0.310,-0.976,-0.132,-3.906,11.414,217.163
-0.109,-0.703,-0.101,-8.972,3.174,220.764
-0.239,-0.201,-0.045,-20.020,-5.554,206.543
-0.364,0.271,0.129,-39.978,-7.507,193.604
-0.285,0.666,-0.014,-40.649,-0.427,193.420
-0.116,0.883,0.051,-28.809,20.752,182.922
-0.023,1.043,-0.007,-28.076,37.415,154.175
-0.011,1.167,-0.162,-32.776,37.476,120.178
0.002,1.166,-0.312,-34.119,38.025,90.820
0.055,1.132,-0.440,-34.058,38.513,67.688
0.114,1.116,-0.551,-32.227,33.508,49.805
0.079,1.116,-0.606,-25.452,23.437,35.461
0.118,1.076,-0.601,-10.864,15.015,27.893
0.135,1.011,-0.543,7.446,5.981,20.325
0.093,0.982,-0.473,21.973,-3.174,11.353
0.077,0.984,-0.398,32.227,-7.141,4.089
0.090,0.974,-0.341,41.931,-8.240,-3.052
0.081,0.936,-0.266,50.842,-10.925,-13.611
0.054,0.854,-0.164,59.448,-13.977,-28.198
0.063,0.766,-0.104,66.589,-13.184,-42.664
0.013,0.762,-0.117,70.679,-7.996,-57.007
0.062,0.768,-0.213,74.341,-1.038,-68.481
0.084,0.772,-0.223,82.703,1.770,-82.275
-0.006,0.721,-0.203,96.375,-4.517,-98.022
-0.112,0.527,-0.113,115.051,-11.230,-116.638
-0.206,0.204,-0.061,127.747,-7.690,-137.634
-0.273,-0.203,-0.080,132.446,0.549,-158.081
-0.335,-0.681,-0.156,125.183,9.216,-180.115
-0.334,-1.197,-0.277,103.882,18.860,-200.623
-0.352,-1.724,-0.479,77.026,25.757,-210.022
-0.307,-2.198,-0.615,52.551,25.757,-202.148
-0.386,-2.466,-0.675,25.024,18.372,-187.439
-0.424,-2.621,-0.698,1.892,12.451,-165.466
-0.390,-2.775,-0.696,0.183,6.775,-138.855
-0.361,-2.928,-0.676,10.620,-1.709,-113.586
-0.318,-3.003,-0.636,23.499,-10.132,-85.144
-0.303,-2.955,-0.541,39.063,-19.226,-51.697
-0.311,-2.798,-0.495,55.725,-27.771,-20.020
-0.350,-2.625,-0.406,68.665,-32.166,6.287
-0.356,-2.485,-0.309,75.928,-30.273,26.978
-0.309,-2.374,-0.220,67.261,-26.794,36.011
-0.305,-2.258,-0.229,42.603,-23.071,36.682
-0.309,-2.057,-0.215,10.803,-13.733,37.170
-0.199,-1.845,-0.227,-16.968,-2.014,41.260
-0.093,-1.642,-0.283,-32.471,4.456,43.213
-0.110,-1.451,-0.296,-37.781,5.493,40.527
-0.107,-1.272,-0.290,-34.180,4.944,43.823
-0.027,-1.149,-0.271,-20.264,5.737,50.354
-0.006,-1.059,-0.263,-8.179,3.540,49.194
-0.049,-1.005,-0.219,-4.333,0.610,40.588
-0.060,-0.982,-0.176,-8.118,1.343,32.166
-0.035,-0.954,-0.161,-17.212,5.188,25.085
-0.025,-0.903,-0.165,-28.381,8.972,17.944
0.003,-0.871,-0.169,-34.607,11.658,12.207
0.029,-0.852,-0.177,-34.241,12.268,7.019
0.029,-0.853,-0.181,-29.846,9.888,2.197
0.004,-0.878,-0.177,-23.987,7.751,-2.686
-0.014,-0.904,-0.168,-19.348,6.897,-5.127
-0.025,-0.912,-0.162,-17.334,7.385,-5.005
-0.023,-0.909,-0.176,-16.174,8.362,-4.028
-0.011,-0.920,-0.184,-15.137,8.240,-4.211
-0.013,-0.943,-0.176,-14.343,6.714,-5.371
-0.024,-0.947,-0.160,-14.282,5.005,-5.737
-0.023,-0.938,-0.151,-14.587,4.456,-5.127
-0.022,-0.927,-0.146,-14.038,4.272,-4.395
-0.023,-0.922,-0.139,-10.864,3.784,-3.479
-0.029,-0.931,-0.140,-6.897,3.418,-2.869
-0.030,-0.961,-0.147,-3.906,3.723,-2.686
-0.036,-0.979,-0.160,-4.028,4.150,-2.563
-0.032,-0.977,-0.173,-6.592,4.944,-1.831
-0.020,-0.968,-0.186,-8.240,5.615,-0.854
-0.013,-0.959,-0.192,-6.836,5.371,0.244
-0.008,-0.959,-0.188,-2.991,3.906,1.465
-0.011,-0.967,-0.178,1.770,1.892,2.380
-0.021,-0.971,-0.163,6.165,0.366,3.052
-0.025,-0.979,-0.153,8.362,-0.244,3.479
-0.028,-0.990,-0.149,8.240,-0.183,2.747
-0.031,-1.000,-0.146,6.653,0.305,2.014
-0.023,-1.001,-0.154,4.944,1.587,2.014
-0.015,-0.998,-0.172,3.784,3.174,2.319
-0.008,-0.984,-0.188,3.967,4.395,2.197
-0.001,-0.974,-0.205,4.883,4.822,1.831
0.003,-0.977,-0.216,7.080,3.967,1.099
-0.008,-0.990,-0.209,9.155,2.075,0.244
-0.019,-1.005,-0.192,9.521,0.427,-0.427
